naive,reorder,direct
0.851621,0.881255,1.33172
0.854989,1.08353,1.26623
0.853445,1.08308,1.26614
0.852632,1.08487,1.26639
0.853351,1.08315,1.26614
0.850603,1.08285,1.2661
0.852794,1.08322,1.26619
0.851912,1.08203,1.26618
0.85367,1.08267,1.26618
0.851074,1.0823,1.26627
0.850243,1.08268,1.26633
0.853879,1.08248,1.26616
0.852536,1.0831,1.26617
0.85202,1.08264,1.26618
0.860122,1.08426,1.26645
0.849247,1.08302,1.2662
0.851228,1.08323,1.26613
0.864468,1.08581,1.26646
0.853065,1.08328,1.26629
0.852182,1.0829,1.26614
0.851595,1.08232,1.26629
0.855686,1.0836,1.26616
0.851471,1.08293,1.26626
0.851604,1.08276,1.26613
0.852993,1.08312,1.26623
0.853582,1.08312,1.26621
0.851316,1.08266,1.26628
0.853694,1.08338,1.26628
0.85501,1.08285,1.26624
0.854948,1.08251,1.26612
0.854023,1.08291,1.26617
0.856383,1.08404,1.26644
