naive,reorder,direct
0.0570416,0.046712,0.101892
0.0548925,0.0469809,0.000185766
0.0535336,0.0468692,0.000157374
0.0539147,0.0470081,0.000145184
0.053733,0.0469629,0.000135985
0.0540245,0.0468534,0.000150072
0.0530837,0.0468492,0.00014252
0.053558,0.0469065,0.000150321
0.0538663,0.0471359,0.000140444
0.0532433,0.0468901,0.000129956
0.0536772,0.0469588,0.000142745
0.0536531,0.0468553,0.00013318
0.0529386,0.0468956,0.00013636
0.053666,0.046945,0.00013426
0.0533152,0.046957,0.000149373
0.0536101,0.0468325,0.000151894
0.0536695,0.0468456,0.000150387
0.0535958,0.0469412,0.00014353
0.0538025,0.0470579,0.000129644
0.0539579,0.046837,0.000148703
0.0536119,0.0468844,0.000144512
0.0545515,0.0471618,0.000196185
0.0532222,0.0469372,0.00015868
0.0538876,0.0468964,0.000143136
0.0531831,0.0469734,0.000141065
0.0527956,0.0471132,0.000160076
0.0536708,0.0471384,0.000144839
0.0538871,0.0470966,0.000152103
0.0541619,0.0471426,0.000151697
0.053786,0.0471007,0.000149736
0.0536402,0.046939,0.000145842
0.053752,0.0470108,0.000154
