naive,reorder,direct
0.844438,3.24502,0.232725
0.845115,2.41335,0.138258
0.846483,2.41,0.136858
0.850718,2.41196,0.136899
0.852212,2.46592,0.137055
0.862473,2.41303,0.136929
0.849384,2.40983,0.13691
0.848582,2.41079,0.136936
0.846707,2.4135,0.136829
0.845344,2.4115,0.136753
0.846175,2.41201,0.136931
0.845956,2.41346,0.136808
0.84671,2.41667,0.136773
0.845136,2.4127,0.136841
0.845464,2.41442,0.136808
0.847689,2.41949,0.136679
0.846667,2.41785,0.136934
0.846001,2.4135,0.136796
0.84672,2.41778,0.136716
0.84587,2.42521,0.136969
0.846798,2.41283,0.136866
0.847463,2.41744,0.136926
0.846353,2.41676,0.13695
0.848311,2.41224,0.13688
0.846786,2.41271,0.136785
0.848764,2.41501,0.136863
0.845836,2.41344,0.136791
0.845595,2.41804,0.136694
0.845677,2.41278,0.136849
0.846313,2.41358,0.136794
0.848329,2.41114,0.136807
0.845753,2.41471,0.136759
